Clinic,ZipCode,AveAge,TotalPatients,Type,PublicPrivate,TrainedStaff,Falls,Injuries,Strategy,FallsPer1000,Borough
73,10121,61,9044,Inpatient,Public,No,128,40,None,14.15302963,
46,10123,34.5,3079,Outpatient,Public,Yes,4,2,Nudge,1.299123092,
38,10125,73,10941,Outpatient,Private,No,100,45,Nudge,9.139932365,
39,10126,71.5,11228,Inpatient,Public,No,91,50,Regulation,8.104738155,
34,10129,51.5,10610,Inpatient,Private,Yes,80,38,Nudge,7.54005655,
90,10130,65.5,7963,Outpatient,Public,No,100,39,Nudge,12.55808113,
27,10133,74.5,13667,Both,Private,Yes,113,38,Regulation,8.268091022,
35,10150,69,6778,Inpatient,Private,Yes,43,34,Regulation,6.344054293,
41,10151,81.5,10392,Outpatient,Private,No,164,47,None,15.78137028,
74,10154,54.5,9376,Inpatient,Private,Yes,104,55,Nudge,11.09215017,
98,10156,81,5280,Both,Private,No,61,24,Nudge,11.5530303,
3,10159,37,9347,Outpatient,Private,Yes,60,39,Regulation,6.419171927,
4,10162,33,7788,Both,Private,Yes,57,28,Slippers,7.318952234,
28,10166,78,6376,Both,Private,No,65,27,Slippers,10.1944793,
31,10167,77,9181,Inpatient,Private,No,114,37,None,12.41694804,
20,10169,36.5,11236,Inpatient,Private,Yes,70,42,Slippers,6.22997508,
32,10171,64,4143,Both,Private,No,36,23,Slippers,8.689355539,
51,10173,70.5,6861,Both,Private,Yes,45,32,Regulation,6.558810669,
87,10174,45.5,11477,Outpatient,Public,Yes,62,43,Regulation,5.402108565,
99,10179,51,887,Both,Private,Yes,2,1,Regulation,2.254791432,
5,10185,75,8880,Both,Private,No,138,63,None,15.54054054,
70,10199,69,3552,Both,Private,No,53,24,Nudge,14.92117117,
36,10211,42,8837,Both,Private,Yes,80,47,Slippers,9.052845988,
66,10213,61.5,11896,Outpatient,Private,Yes,98,49,Regulation,8.238063215,
22,10258,45.5,4648,Outpatient,Private,Yes,27,13,Nudge,5.808950086,
88,10265,42,1276,Outpatient,Private,Yes,4,2,Slippers,3.134796238,
18,10268,74,2539,Both,Public,No,48,30,Nudge,18.90508074,
16,10270,47.5,11795,Both,Private,Yes,84,42,Slippers,7.121661721,
52,10271,60.5,13080,Outpatient,Private,No,104,42,Slippers,7.951070336,
91,10274,59,12849,Inpatient,Private,No,94,55,Regulation,7.315744416,
78,10277,62.5,13731,Both,Private,Yes,113,35,Regulation,8.229553565,
11,10278,61,11807,Inpatient,Private,No,87,53,Regulation,7.368510206,
76,10279,32,8367,Both,Private,Yes,63,36,Slippers,7.529580495,
47,10282,52,858,Outpatient,Public,Yes,2,1,Regulation,2.331002331,
61,10292,52.5,7761,Outpatient,Public,No,92,38,None,11.85414251,
92,10302,73,5334,Outpatient,Private,No,52,21,Slippers,9.748781402,
100,10304,58,7461,Both,Private,Yes,82,47,Slippers,10.99048385,
23,10307,44.5,3871,Inpatient,Private,No,11,6,Regulation,2.841642986,
67,10310,38,5912,Outpatient,Public,Yes,22,9,Regulation,3.721244926,
93,10311,74,7400,Inpatient,Private,Yes,78,47,None,10.54054054,
8,10312,55,11802,Both,Private,Yes,90,49,Slippers,7.625826131,
79,10314,35,1548,Inpatient,Private,Yes,2,1,Regulation,1.291989664,
12,10451,44.5,2008,Both,Private,Yes,3,1,Slippers,1.494023904,Bronx
68,10454,65.5,3721,Inpatient,Private,No,48,25,Slippers,12.89975813,Bronx
33,10458,65.5,6993,Outpatient,Public,Yes,71,43,None,10.15301015,Bronx
75,10463,75,2642,Both,Private,No,36,23,None,13.62604088,Bronx
17,10464,74.5,8873,Outpatient,Private,No,130,54,None,14.651189,Bronx
95,10466,58.5,13861,Both,Private,Yes,102,47,Regulation,7.358776423,Bronx
56,10470,49,3860,Both,Private,Yes,21,11,Slippers,5.440414508,Bronx
2,10471,81.5,4714,Both,Private,No,57,33,Nudge,12.09164192,Bronx
50,10475,36,10176,Both,Private,Yes,92,40,Nudge,9.040880503,Bronx
83,10499,60.5,10279,Both,Private,Yes,107,40,Regulation,10.40957292,Bronx
84,11202,62,4460,Outpatient,Private,Yes,36,21,Slippers,8.071748879,Brooklyn
37,11203,40,12715,Both,Public,Yes,94,40,Regulation,7.392843099,Brooklyn
9,11205,66,5148,Both,Private,No,54,23,None,10.48951049,Brooklyn
42,11207,66,7927,Inpatient,Private,No,100,48,Nudge,12.61511291,Brooklyn
85,11208,78,8251,Outpatient,Private,No,137,61,None,16.60404799,Brooklyn
71,11211,37,10266,Both,Private,Yes,80,45,Regulation,7.792713813,Brooklyn
86,11219,80,2173,Both,Private,No,50,21,Nudge,23.00966406,Brooklyn
40,11228,82.5,2082,Outpatient,Private,No,49,27,Slippers,23.53506244,Brooklyn
21,11229,76.5,10739,Inpatient,Private,No,107,58,None,9.963683769,Brooklyn
80,11232,64,13546,Both,Private,No,111,39,Slippers,8.194300901,Brooklyn
10,11234,43,977,Outpatient,Private,Yes,3,2,Nudge,3.07062436,Brooklyn
29,11238,52.5,5912,Both,Private,Yes,42,20,Regulation,7.104194858,Brooklyn
94,11241,74,6347,Inpatient,Private,No,64,29,Nudge,10.08350402,Brooklyn
96,11243,43.5,5328,Inpatient,Public,Yes,29,19,Slippers,5.442942943,Brooklyn
81,11245,54,7800,Both,Private,No,94,38,None,12.05128205,Brooklyn
63,11248,78,9377,Both,Private,No,127,38,None,13.54377733,Brooklyn
58,11249,64.5,6224,Outpatient,Private,No,55,23,Nudge,8.836760925,Brooklyn
49,11251,48,13656,Both,Private,Yes,108,39,Regulation,7.908611599,Brooklyn
64,11254,75.5,2907,Both,Private,Yes,50,26,Slippers,17.1998624,Brooklyn
